drug,title,pmid,doi,journal,pub_year,model,direction,pos_hits,neg_hits,outcomes,abstract
(+)-alaproclate,A small molecule ApoE4-targeted therapeutic candidate that normalizes sirtuin 1 levels and improves cognition in an Alzheimer's disease mouse model.,30514854,10.1038/s41598-018-35687-8,,2018,animal,negative,0,3,amyloid;tau;cognition,"We describe here the results from the testing of a small molecule first-in-class apolipoprotein E4 (ApoE4)-targeted sirtuin1 (SirT1) enhancer, A03, that increases the levels of the neuroprotective enzyme SirT1 while not affecting levels of neurotoxic sirtuin 2 (SirT2) in vitro in ApoE4-transfected cells. A03 was identified by high-throughput screening (HTS) and found to be orally bioavailable and brain penetrant. In vivo, A03 treatment increased SirT1 levels in the hippocampus of 5XFAD-ApoE4 (E4FAD) Alzheimer's disease (AD) model mice and elicited cognitive improvement while inducing no observed toxicity. We were able to resolve the enantiomers of A03 and show using in vitro models that the L-enantiomer was more potent than the corresponding D-enantiomer in increasing SirT1 levels. ApoE4 expression has been shown to decrease the level of the NAD-dependent deacetylase and major longevity determinant SirT1 in brain tissue and serum of AD patients as compared to normal controls. A deficiency in SirT1 level has been recently implicated in increased tau acetylation, a dominant post-translational modification and key pathological event in AD and tauopathies. Therefore, as a novel approach to therapeutic development for AD, we targeted identification of compounds that enhance and normalize brain SirT1 levels."
(+)-cannabidiol,Cannabidiol Modulates Brain Copper Homeostasis in Wild-Type-Like But Not Alzheimer's Disease Transgenic Female Mice: Implications for Neuroprotective Therapy.,41247623,10.1007/s12035-025-05480-6,,2025,animal,negative,0,2,amyloid;microglia;mitochondria;synapse;cognition,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder marked by cognitive decline, synaptic dysfunction, and neuroinflammation. Disrupted metal homeostasis-especially copper (Cu), zinc (Zn), and iron (Fe)-is implicated in AD pathogenesis, contributing to amyloid-beta (Aβ) aggregation and oxidative stress. Cannabidiol (CBD), a non-toxic phytocannabinoid with antioxidant and neuroprotective properties, has unclear effects on brain metal regulation. Using high-resolution laser ablation-inductively coupled plasma mass spectrometry (LA‑ICP‑MS), we quantified regional metal distributions in sagittal brain sections from 12‑month‑old female wild‑type (WT) and APP/PS1 transgenic mice treated chronically with CBD or vehicle. CBD significantly elevated whole‑brain Cu in WT mice but not in APP/PS1 mice. Although Zn and Fe concentrations did not differ significantly, effect-size trends revealed regional differences in Cu and Zn patterns across treatment groups, particularly in the hippocampus. Correlation analysis revealed coordinated inter‑regional metal regulation in WT and vehicle‑treated APP/PS1 groups, which was disrupted in CBD‑treated APP/PS1 mice. Additionally, CBD‑treated WT mice exhibited increased variance in cerebellar Cu, suggesting individual differences in response. These findings suggest that CBD influences Cu homeostasis in WT animals, though not significantly altered in transgenic animals under the conditions tested. Our results support integrating spatially resolved metallomics into preclinical AD frameworks and highlight the utility of metrics beyond mean concentration-such as regional ratios, correlation structures, and variability-for detecting subtle treatment effects."
(+)-cannabidiol,Basic Science and Pathogenesis.,41454444,10.1002/alz70855_102846,,2025,animal,negative,0,1,amyloid;cognition,"<h4>Background</h4>Previous results demonstrated that chronic treatment with a combination of two natural cannabinoids, Δ<sup>9</sup>-tetrahydrocannabinol (THC) and cannabidiol (CBD), at non-psychotropic doses reduces cognitive decline, as well as the extracellular glutamate levels and the basal excitability in the hippocampus of APP/PS1 mice. In the present study, we aimed to elucidate whether this modulation of hippocampal excitability exerted by natural cannabinoids could affect the dopaminergic activity in limbic areas related to non-cognitive symptoms of Alzheimer's disease (AD) in our animal model.<h4>Method</h4>We used glutamate and dopamine biosensors, along with fiber photometry techniques, to evaluate the levels of these neurotransmitters in the hippocampus and nucleus accumbens (NAcc), respectively. Experiments were conducted in anaesthetized animals for recording under an electrical hippocampal stimulation protocol, or in awake animals for recording during behavioral evaluations (novel object recognition, open field, sociability and prepulse inhibition tests).<h4>Result</h4>Chronic treatment with THC and CBD reversed the increased prominence and frequency of glutamate peaks observed in the hippocampus of APP/PS1 animals during the novel object recognition test at early stages of the AD-like process. At more advanced stages, APP/PS1 mice exhibited alterations in dopamine dynamics in the NAcc, which were compatible with psychotic-like traits observed in this animal model of AD. Interestingly, these alterations were partially modulated by chronic treatment with these natural cannabinoids.<h4>Conclusion</h4>Our results reveal that the combination of THC and CBD modulates glutamatergic activity in the hippocampus at early stages of the AD process and that, likely related to this, reduces dopaminergic alterations in limbic areas at advanced stages. Thus, these natural cannabinoids may alleviate both cognitive and non-cognitive symptoms occurring in AD, supporting their clinical development as a pleiotropic therapeutic alternative for this neurodegenerative disease."
(+)-cannabidiol,Biomarkers.,41442268,10.1002/alz70856_100426,,2025,animal,negative,1,2,microglia;cognition,"<h4>Background</h4>Cannabidiol (CBD) has well-described anti-inflammatory and neuroprotective properties. Emerging preclinical research has explored the potential of this cannabinoid as a therapeutic agent to delay or prevent the onset of symptoms and pathophysiological features of neurodegenerative processes, such as Alzheimer's disease (AD). Therefore, the aim of this study was to evaluate the effect of CBD treatment during aging of an animal model for AD using positron emission tomography (PET).<h4>Method</h4>Male and female 3xTg-AD mice (ethics committee 1811/2022) were divided into control and CBD groups. At 7 months-old, the animals were treated with CBD (20 mg/kg) or vehicle for 30 days. At 4, 8, 12 and 18 months-old, [<sup>18</sup>F]FDG and [<sup>11</sup>C]PK11195 PET images were acquired to assess brain metabolism and neuroinflammation. The standardized uptake value (SUV) was calculated for the whole brain. The behavioral tests of novel object recognition (NOR) and elevated plus maze (EPM) were performed to assess memory, exploratory behavior and anxiety.<h4>Result</h4>There was a sex effect on [<sup>18</sup>F]FDG uptake, with vehicle-males showing higher uptake than vehicle-females at 4 (p = 0.02), 8 (p = 0.007), and 18 months (p <0.0001). Vehicle-females had reduced [<sup>18</sup>F]FDG uptake at 18 months compared to all other ages (18 months vs: 4: p = 0.045; 8: p = 0.001; 12: p <0.0001). In the CBD group, [<sup>18</sup>F]FDG uptake was higher in males than in females at 8 months (p = 0.002). CBD-males also had increased uptake from 4 to 8 months (p <0.0001) and to 12 months (p = 0.002). In addition, CBD-females had higher [<sup>18</sup>F]FDG uptake than vehicle-females at 18 months (p = 0.024). No sex effect was observed for [<sup>11</sup>C]PK11195. Increased uptake was observed in the control group at 18 months compared to 4 months (p = 0.004) and 12 months (p = 0.02). No significant differences were observed in the behavioral assessments.<h4>Conclusion</h4>Our study demonstrated prominent sex differences in brain metabolism and provided evidence of a possible neuroprotective role of CBD in mitigating neuroinflammatory events associated with aging. Furthermore, PET proved to be a more sensitive tool for detecting aging-induced changes in the 3xTg-AD model compared to behavioral assessments."
(+)-cannabidiol,Synergistic neuroprotection of chitosan-cannabidiol nanoparticles in a rat model of Alzheimer's disease: Amelioration of cognitive deficits and neuroinflammation.,40990612,10.1177/13872877251379420,,2025,animal,positive,4,2,microglia;mitochondria;cognition,"BackgroundAlzheimer's disease (AD) is a progressive neurodegenerative disorder characterized by cognitive decline, neuroinflammation, and oxidative stress. Current treatments are largely symptomatic, necessitating novel neuroprotective strategies.ObjectiveThis study aimed to investigate the anti-inflammatory and antioxidant effects of chitosan-cannabidiol (CS-CBD) nanoparticles in a streptozotocin (STZ)-induced rat model of AD.MethodsSixty male Wistar rats were randomly divided into five groups: control, AD model (STZ-induced), chitosan-treated, cannabidiol-treated, and CS-CBD-treated. AD was induced by intracerebroventricular injection of STZ (3 mg/kg). Treatments were administered intranasally for 21 days. Cognitive performance was assessed using the Morris water maze. After treatment, oxidative stress markers (NO, FRAP), liver enzymes (ALT, AST), and the expression of inflammatory and neuroprotective genes (IL1β, IL6, IL10, iNOS, PPARγ, BDNF) were evaluated by real-time PCR. Histological analysis of the hippocampus was also performed. Data were analyzed using one-way ANOVA and Tukey's post hoc test (p < 0.05).ResultsThe AD group showed significant impairments in memory and learning (p < 0.0001), increased oxidative stress, and upregulation of pro-inflammatory genes (IL1β, iNOS), with decreased neuroprotective markers (BDNF, PPARγ). CS-CBD treatment significantly improved cognitive function (p < 0.001), restored oxidative balance, reduced IL1β and iNOS expression, and elevated BDNF and PPARγ expression (p < 0.05). Histological analysis confirmed reduced neuronal degeneration and increased neuronal density in the CS-CBD group.ConclusionsCS-CBD nanoparticles exerted potent neuroprotective, antioxidant, and anti-inflammatory effects in an STZ-induced rat model of AD. These findings support the potential of CS-CBD nanoparticles as a promising adjunctive therapy for AD, warranting further investigation."
(+)-cannabidiol,Combination treatment with medium dose THC and CBD had no therapeutic effect in a transgenic mouse model for Alzheimer's disease but affected other domains including anxiety-related behaviours and object recognition memory.,40976394,10.1016/j.pbb.2025.174101,,2025,animal,positive,2,1,amyloid;mitochondria;cognition,"Alzheimer's disease (AD) is a neurodegenerative disease that effects memory and behaviour. The phytocannabinoid cannabidiol (CBD) has been found to reverse impairments of recognition as well as spatial memory deficits of AD transgenic mice but had only limited effects on disease-relevant brain pathologies. Recent evidence suggests that combining CBD with other cannabinoids including delta-9-tetrahydrocannabinol (THC) may lead to improved therapeutic outcomes. Thus, this study evaluated the chronic effects of combined treatment with 3 mg/kg THC and 20 mg/kg CBD on 14.5-month-old APP<sub>Swe</sub>/PS1ΔE9 (APP/PS1) transgenic females and control littermates. Mice were treated with THCxCBD or vehicle (VEH) daily via intraperitoneal injections for 3 weeks before behavioural testing commenced. AD-relevant behavioural domains were analysed utilising Elevated Plus Maze (EPM), open field (OF), novel object recognition test (NORT), social interaction (SI), Y-maze (YM), and prepulse inhibition test (PPI). APP/PS1 females showed an anxiety-like phenotype and object recognition deficits that remained unchanged by cannabinoid treatment. Interestingly, some effects of THCxCBD appeared genotype-dependent with cannabinoid treatment causing an anxiogenic EPM response in APP/PS1 mice but having an anxiolytic-like effect in WT females. Moreover, THCxCBD administration disrupted the novel object preference of control females. Noteworthy, THCxCBD significantly decreased different fat depots and bodyweight of all mice across genotype. No other differences between genotypes or treatment groups were detected. In conclusion, the particular cannabinoid combination strategy utilised had no prominent therapeutic-like effect in 14.5-month-old APP/PS1 females."
(+)-cannabidiol,Cannabidiol improves learning and memory deficits and alleviates anxiety in 12-month-old SAMP8 mice.,40811673,10.1371/journal.pone.0296586,,2025,animal,neutral,2,2,microglia;mitochondria;cognition,"Cannabidiol (CBD) has gained a lot of interest in recent years for its purported medicinal properties. CBD has been investigated for the treatment of anxiety, depression, epilepsy, neuroinflammation, and pain. Recently there has been an interest in CBD as a possible treatment for age-related disorders such as Alzheimer's disease and related disorders (ADRD). Here we tested the hypothesis that chronic CBD administration would improve learning and memory in the SAMP8 mouse model of Alzheimer's disease. SAMP8 mice aged 11 months (at the start of the study) were administered vehicle or CBD (3 or 30 mg/Kg) daily via oral gavage for 2 months. Vehicle-treated young SAMP8 mice (age 3 months at the start of the study) served as unimpaired controls. After 30 days of treatment (4 and 12 months of age), learning and memory, activity, anxiety, strength and dexterity were assessed. High dose CBD treatment significantly improved learning and memory of the 12-month-old mice in the T maze. Novel object recognition memory was also improved by CBD in aged CBD treated mice. Aged CBD treated mice also displayed less anxiety in the elevated plus maze test compared to controls. However, activity and strength levels were similar between groups. Biochemical analysis revealed decreased markers of oxidative stress, providing a possible mechanism by which CBD treatment impacts learning, memory, and anxiety. These results highlight the potential use of CBD as a therapeutic for age related cognitive impairment and dementia."
(+)-cannabidiol,Rethinking Alzheimer's: Harnessing Cannabidiol to Modulate IDO and cGAS Pathways for Neuroinflammation Control.,41052930,10.1523/eneuro.0114-25.2025,,2025,animal,positive,2,0,amyloid;tau;microglia,"Alzheimer's disease (AD) has traditionally been associated with amyloid-β plaques, but growing evidence underscores the role of neuroinflammation in disease progression. The autoinflammatory hypothesis of AD suggests chronic immune dysfunction contributes to neuronal damage, making immune modulation a promising therapeutic strategy. Cannabidiol (CBD), a phytocannabinoid with anti-inflammatory properties, may offer therapeutic potential. This study investigates how CBD independently influences two key neuroinflammatory regulators in AD: the indoleamine 2,3-dioxygenase (IDO) pathway and the cyclic GMP-AMP synthase (cGAS) pathway. Though mechanistically distinct, both shape CNS immune responses. Targeting these immune-metabolic axes provides a mechanistic alternative to amyloid- or tau-based approaches by addressing upstream drivers of neuroinflammation and immune dysregulation. Using the male 5XFAD transgenic AD mouse model, we administered CBD via inhalation and assessed IDO and cGAS expression using flow cytometry, immunofluorescence (IF), and gene expression analysis. We evaluated cytokine levels and used STRING-based bioinformatics to identify CBD-target interactions. CBD treatment significantly reduced IDO and cGAS expression, correlating with decreased proinflammatory cytokines, including TNF-α, IL-1β, and IFN-γ. Bioinformatics identified potential interactions between CBD and immune targets such as AKT1, TRPV1, and GPR55. These targets were prioritized based on their roles in neuroinflammatory signaling and high-confidence interactions with CBD. AKT1 regulates inflammatory signaling and cell survival, TRPV1 modulates nociception and neuroinflammation, and GPR55 influences immune cell activation. These findings support CBD as a potential monotherapy or adjunctive treatment for AD by targeting distinct neuroinflammatory pathways, including IDO and cGAS. Further studies are warranted to fully explore its therapeutic potential."
(+)-cannabidiol,Molecular pathogenesis of Alzheimer's disease onset in a mouse model: effects of cannabidiol treatment.,40979532,10.3389/fnins.2025.1667585,,2025,animal,neutral,0,0,mitochondria;synapse;cognition,"<h4>Introduction</h4>Alzheimer's disease (AD) is a common neurodegenerative condition involving a complex blend of disturbances in synaptic development and maintenance, neurovascular cross-talk, ionic and nutrient transport, and mitochondrial metabolism. The precise molecular profile of AD onset with insight for major pathological contributors remains unclear with corresponding impedances in therapeutic development. The current study sought two objectives, as (i) to resolve the molecular pathogenesis from cognitive impairment to the onset of AD-like neuropathology and (ii) whether the novel agent cannabidiol (CBD), noted for its neuroprotective effects, influences the molecular transition associated with AD onset.<h4>Methods</h4>Dietary CBD was administered daily (80-100 mg/kg/day) in male <i>3xTg-AD</i> mice and wild-type B6129SF2/J animals from 4.5 to 6.5 mo of age with inclusion of vehicle controls. RNA sequencing encompassed longitudinal and cross-sectional blood and brain samples, respectively. Metabolomics and behavioral analyses examined brain regions (cortex, hippocampus) and associated integrated neurocircuitry.<h4>Results and discussion</h4>There were >1,000 differentially expressed markers of AD onset, whereby >75% were either eliminated or reversed in the direction of expression in response to CBD. Signaling pathways encompassed synaptic development and plasticity (e.g., Foxp2), neurovascular interactions (Smad9, Angptl6), receptors and ion channels (Gria4, Chrna2, Rgs7/Rgs7bp), mitochondrial genes (Ndufa7, Cox7a2), immunity (Ncr1), oxidation-reduction (Esr1), lipid synthesis (Fasn, ApoE), and carbohydrate metabolism (Mafa, Mlxipl). As potentially addressable with CBD treatment, AD onset represents molecular integration of neurovascular interactions, channelopathies, metabolic disturbances, and aberrations in developmental genes with involvement of major pathological contributors such as inflammation, oxidative signaling, dyslipidemia, and insulin resistance."
(+)-cannabidiol,Cannabidiol improves the cognitive function of SAMP8 AD model mice involving the microbiota-gut-brain axis.,38590254,10.1080/15287394.2024.2338914,,2024,animal,negative,2,3,amyloid;microglia;cognition,"Cannabidiol (CBD), a natural component extracted from <i>Cannabis sativa L</i>. exerts neuroprotective, antioxidant, and anti-inflammatory effects in Alzheimer's disease (AD), a disease characterized by impaired cognition and accumulation of amyloid-B peptides (Aβ). Interactions between the gut and central nervous system (microbiota-gut-brain axis) play a critical role in the pathogenesis of neurodegenerative disorder AD. At present investigations into the mechanisms underlying the neuroprotective action of CBD in AD are not conclusive. The aim of this study was thus to examine the influence of CBD on cognition and involvement of the microbiota-gut-brain axis using a senescence-accelerated mouse prone 8 (SAMP8) model. Data demonstrated that administration of CBD to SAMP8 mice improved cognitive function as evidenced from the Morris water maze test and increased hippocampal activated microglia shift from M1 to M2. In addition, CBD elevated levels of Bacteriodetes associated with a fall in Firmicutes providing morphologically a protective intestinal barrier which subsequently reduced leakage of intestinal toxic metabolites. Further, CBD was found to reduce the levels of hippocampal and colon epithelial cells lipopolysaccharide (LPS), known to be increased in AD leading to impaired gastrointestinal motility, thereby promoting neuroinflammation and subsequent neuronal death. Our findings demonstrated that CBD may be considered a beneficial therapeutic drug to counteract AD-mediated cognitive impairment and restore gut microbial functions associated with the observed neuroprotective mechanisms."
(+)-cannabidiol,"Effects of Chronic, Low-Dose Cannabinoids, Cannabidiol, Delta-9-Tetrahydrocannabinol and a Combination of Both, on Amyloid Pathology in the 5xFAD Mouse Model of Alzheimer's Disease.",37862567,10.1089/can.2023.0101,,2024,animal,negative,0,1,amyloid;cognition,"<b>Background:</b> There is an urgent need for novel therapies to treat Alzheimer's disease. Among others, the use of cannabinoids such as delta-9-tetrahydrocannabinol (THC) and cannabidiol (CBD) has been proposed as a putative approach based on their anti-inflammatory effects. <b>Methods:</b> The present work was designed to explore the effects of chronic (28 days) treatment with low doses of cannabinoids: CBD (0.273 mg/kg), THC (0.205 mg/kg) or a combination of both (CBD:THC; 0.273 mg/kg:0.205 mg/kg) in the 5xFAD mouse model of AD. <b>Results:</b> Our data revealed that THC-treated 5xFAD mice (but not other treatment groups) exhibited anxiogenic and depressant-like behavior. A significant improvement in spatial memory was observed only in the CBD:THC-treated group. Interestingly, all cannabinoid-treated groups showed significantly increased cortical levels of the insoluble form of beta amyloid 1-42. These effects were not accompanied by changes in molecular parameters of inflammation at the mRNA or protein level. <b>Conclusions:</b> These data reveal differential effects of chronic, low-dose cannabinoids and point to a role of these cannabinoids in the processing of amyloid peptides in the brains of 5xFAD mice."
